Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Bugisu,Bugisu,252,188,440,55839,35698,91537.0,101701,59699,161400,30253,24375,54628,45024,39420.0,84444,240,185,425,53078,34124,87202,95477,54281.0,149758,43011,37691,80702,29000,23320,52320,370407,240,185,425,52405,33798,86203,94332,53625,147957,42692,37296,79988,28696,23139,51835,4481,7430,11911,233069,159380,392449,45276,39608,84884,1469892.0,1827757.0,2447.0,1712097.712,699.6721342,1.0783,34.1737,2021,216.34688102427648,699.6721340416838
Busoga,Bugweri District,11,8,19,11559,6409,17968.0,19515,8065,27580,7901,6431,14332,11031,10163.0,21194,11,8,19,11504,6367,17871,19352,7989.0,27341,10990,10117,21107,7931,6386,14317,80655,11,8,19,11414,6331,17745,19064,7926,26990,10860,9993,20853,7800,6329,14129,844,1490,2334,50017,31076,81093,11042,10171,21213,164886.0,211511.0,302.0,196285.4942,649.9519675,0.6116,33.5952,2021,410.906574266862,649.9519675496688
Ankole,Buhweju District,0,0,0,430,415,845.0,644,547,1191,299,169,468,202,161.0,363,0,0,0,428,412,840,642,543.0,1185,202,161,363,297,169,466,2854,0,0,0,421,406,827,630,532,1162,201,161,362,296,169,465,4,16,20,1575,1292,2867,202,161,363,12072.0,167921.0,751.0,76226.72766,101.5003031,0.3558,30.3897,2021,37.44093558272524,101.50030314247671
North Central,Buikwe District,44,18,62,17115,14064,31179.0,31039,20409,51448,11158,8763,19921,15491,13924.0,29415,36,17,53,15945,11256,27201,27397,18939.0,46336,14442,12928,27370,10618,8344,18962,119922,35,17,52,15735,11142,26877,26983,18625,45608,14258,12766,27024,10496,8224,18720,983,2238,3221,74847,57178,132025,15535,13942,29477,422771.0,520158.0,1270.0,488794.4368,384.8775093,0.2827,0.0,2021,245.34239952708072,384.8775092913386
Teso,Bukedea District,14,13,27,9429,4294,13723.0,15754,5672,21426,4005,2732,6737,5581,5020.0,10601,14,13,27,9421,4272,13693,15597,5648.0,21245,5541,5008,10549,4002,2730,6732,52246,14,13,27,9302,4227,13529,15558,5607,21165,5385,4890,10275,3910,2687,6597,1050,2468,3518,34783,17731,52514,5595,5033,10628,203600.0,282864.0,1032.0,256293.5679,248.3464805,1.3557,34.1087,2021,203.85217010356348,248.34648052325582
Bukedi,Bukedi,187,167,354,124341,66581,190922.0,185386,66730,252116,95192,74681,169873,128351,115093.0,243444,170,156,326,122258,65604,187862,180215,64912.0,245127,125908,112732,238640,93926,73927,167853,839808,172,158,330,120541,64497,185038,177309,65332,242641,124283,111592,235875,92579,72725,165304,5848,11421,17269,533457,323252,856709,128538,115260,243798,1881415.0,2372489.0,4504.0,2213035.221,491.3488502,0.0,0.0,2021,379.482437527821,491.3488501332149
South Central,Bukomansimbi District,4,1,5,3616,3156,6772.0,5218,2924,8142,2400,2257,4657,2866,2824.0,5690,4,59,63,3606,3152,6758,5206,2921.0,8127,2871,2826,5697,2398,2250,4648,25293,4,1,5,3618,3145,6763,5216,2916,8132,2875,2821,5696,2426,2268,4694,79,325,404,14104,11162,25266,2870,2825,5695,151413.0,197568.0,600.0,182410.81,304.0180166,0.1433,31.6055,2021,138.6595454512811,304.01801666666665
Bugisu,Bukwo District,0,0,0,2206,1847,4053.0,2655,2462,5117,1333,1192,2525,1070,953.0,2023,0,0,0,1822,1576,3398,2061,2001.0,4062,868,769,1637,1119,999,2118,11215,0,0,0,1785,1532,3317,2009,1970,3979,851,763,1614,1105,993,2098,76,124,200,7264,6454,13718,1070,953,2023,89356.0,114396.0,525.0,106224.5019,202.3323845,1.2819,34.7299,2021,105.57827807522061,202.33238457142858
Bugisu,Bulambuli District,4,7,11,4273,2425,6698.0,8610,4657,13267,2269,1530,3799,2709,2603.0,5312,4,7,11,4042,2289,6331,8184,4411.0,12595,2505,2398,4903,2103,1437,3540,27380,4,7,11,4030,2305,6335,8165,4368,12533,2563,2467,5030,2151,1465,3616,394,712,1106,17865,11222,29087,2713,2610,5323,174513.0,235391.0,695.0,215179.668,309.6110331,1.4815,34.2866,2021,127.24250508649357,309.6110330935252
Bunyoro,Buliisa District,2,2,4,10155,5435,15590.0,11557,4807,16364,6937,5645,12582,10871,10341.0,21212,2,2,4,9343,5034,14377,10066,4236.0,14302,9937,9463,19400,6354,5187,11541,59624,1,2,3,9598,4994,14592,9930,4373,14303,9858,9252,19110,6376,5160,11536,873,1949,2822,39522,26230,65752,10873,10343,21216,113161.0,167894.0,1367.0,149153.5712,109.1101472,1.8992,31.3542,2021,399.7490607854785,109.11014718361376
Tooro,Bundibugyo District,39,25,64,14986,8470,23456.0,28669,14372,43041,9003,6575,15578,11791,10313.0,22104,38,137,175,14760,8344,23104,28169,14121.0,42290,11672,10176,21848,8884,6496,15380,102797,38,25,63,14850,8397,23247,28311,14265,42576,11729,10211,21940,8927,6523,15450,649,1240,1889,64488,39755,104243,11830,10338,22168,224387.0,264778.0,850.0,251951.3187,296.4133162,0.6852,0.0,2021,408.00342117836277,296.41331611764707
Tooro,Bunyangabu District,5,0,5,2210,1953,4163.0,3535,2766,6301,1193,1054,2247,1283,1252.0,2535,6,7,13,2089,1840,3929,3310,2606.0,5916,1179,1161,2340,1150,1006,2156,14354,6,0,6,1932,1718,3650,3175,2507,5682,1108,1124,2232,1084,938,2022,66,151,217,8226,7025,15251,1288,1252,2540,170247.0,219012.0,466.0,203072.6229,435.7781606,0.4871,30.2051,2021,70.68407250084324,435.7781607296137
Bunyoro,Bunyoro,187,120,307,82318,51529,133847.0,114175,60677,174852,48851,35898,84749,71861,63768.0,135629,107,96,203,77036,48683,125719,106182,54428.0,160610,64624,59363,123987,41543,33712,75255,485774,122,102,224,77694,81994,159688,104570,55337,159907,64501,59366,123867,41980,34095,76075,6624,14567,21191,317392,211992,529384,72048,63888,135936,2028545.0,2792732.0,16580.0,2537323.705,153.0352053,0.0,0.0,2021,191.45133080290202,153.03520536791316
Ankole,Bushenyi District,1,1,2,3785,3700,7485.0,5362,3778,9140,1426,1281,2707,1066,1021.0,2087,1,1,2,3688,3640,7328,5060,3481.0,8541,1037,996,2033,1396,1251,2647,20551,1,1,2,3648,3600,7248,4983,3408,8391,1025,988,2013,1374,1232,2606,59,172,231,11640,9781,21421,1067,1022,2089,234443.0,283392.0,845.0,267721.0326,316.8296243,0.4875,30.1127,2021,76.76273993274596,316.8296243786982
Bukedi,Busia District,37,23,60,26108,15751,41859.0,43824,19375,63199,16144,12730,28874,24129,22636.0,46765,31,19,50,25762,15670,41432,42438,19190.0,61628,23935,22395,46330,16159,12690,28849,178289,31,19,50,25602,15503,41105,42487,19036,61523,23915,22268,46183,16115,12642,28757,1175,2051,3226,110242,70515,180757,24166,22659,46825,323662.0,412671.0,729.0,383663.3188,526.2871315,0.4045,34.0196,2021,464.70170919034445,526.2871314128944
Busoga,Busoga,550,344,894,226136,125602,351738.0,414857,193383,608240,152472,116145,268617,245207,214054.0,459261,502,294,796,221532,122312,343844,402648,185745.0,588393,239260,209133,448393,149330,113151,262481,1643907,496,290,786,218995,120774,339769,397286,183248,580534,236412,206510,442922,147459,111730,259189,22073,43619,65692,1039222,649528,1688750,245757,214398,460155,3583196.0,4363295.0,9443.0,4112930.519,435.5533748,0.0,0.0,2021,399.69238293859934,435.5533748808641
Bukedi,Butaleja District,11,8,19,15273,8170,23443.0,23395,8194,31589,13478,10801,24279,18624,16937.0,35561,7,5,12,14360,7719,22079,20967,7443.0,28410,17197,15568,32765,12688,10430,23118,106384,8,6,14,14080,7690,21770,20223,8995,29218,16987,15517,32504,12793,10428,23221,578,1206,1784,70781,44110,114891,18635,16945,35580,244153.0,312771.0,655.0,290373.6171,443.3184994,0.0,0.0,2021,366.369372887493,443.31849938931293
South Central,Butambala District,0,4,4,5122,4810,9932.0,5936,3672,9608,2420,2441,4861,2391,2220.0,4611,0,2,2,4634,4491,9125,5220,3323.0,8543,2121,1963,4084,2208,2262,4470,26224,0,2,2,4526,4399,8925,5147,3282,8429,2091,1933,4024,2157,2216,4373,101,367,468,15869,13147,29016,2391,2224,4615,10084.0,146516.0,405.0,65646.16932,162.089307,0.1742,32.1065,2021,399.47494684980046,162.08930696296298
Bukedi,Butebo District,26,27,53,10547,4945,15492.0,14872,4859,19731,8377,6177,14554,9502,8436.0,17938,26,27,53,10508,4931,15439,14782,4839.0,19621,9486,8408,17894,8362,6165,14527,67534,25,27,52,10088,4432,14520,14387,4409,18796,9103,8134,17237,7668,5574,13242,275,768,1043,43324,24444,67768,9528,8463,17991,111762.0,171433.0,236.0,150783.683,638.9139111,1.2393,33.83,2021,447.8866589297995,638.9139110169491
North Central,Buvuma District,1,2,3,2844,1663,4507.0,5993,3253,9246,1885,1532,3417,3456,3054.0,6510,1,2,3,2801,1637,4438,5820,3161.0,8981,3360,2941,6301,1855,1513,3368,23091,1,2,3,2819,1646,4465,5754,3182,8936,3393,2994,6387,1867,1510,3377,226,455,681,14179,9504,23683,3457,3056,6513,8989.0,110832.0,296.0,52164.97857,176.2330357,0.3765,33.2588,2021,442.6533017552048,176.23303570945944
Busoga,Buyende District,57,49,106,8446,4311,12757.0,14990,6982,21972,5733,4484,10217,12751,12098.0,24849,57,49,106,8445,4314,12759,15233,6981.0,22214,12749,12099,24848,5733,4484,10217,70144,57,49,106,8445,4311,12756,14990,6981,21971,12751,12090,24841,5733,4484,10217,2784,4775,7559,41977,27924,69901,12808,12147,24955,323067.0,403486.0,1379.0,377457.1956,273.7180534,1.2414,33.1239,2021,185.83299197277245,273.7180533720087
Lango,Dokolo District,14,10,24,20098,8711,28809.0,24031,6910,30941,10773,8063,18836,14315,12315.0,26630,14,9,23,18837,8143,26980,22332,6194.0,28526,13490,11588,25078,10163,7599,17762,98369,14,8,22,18602,7961,26563,22127,6360,28487,13342,11397,24739,9939,7342,17281,1416,2282,3698,69231,36009,105240,14329,12325,26654,183093.0,215625.0,1004.0,205300.9225,204.4829906,1.9131,33.1717,2021,479.1454358905767,204.4829905378486
Tooro,Fort Portal City,7,6,13,969,815,1784.0,2387,1839,4226,550,460,1010,622,531.0,1153,8,14,22,879,762,1641,2055,1719.0,3774,562,488,1050,499,447,946,7433,8,4,12,877,764,1641,2088,1709,3797,557,494,1051,504,439,943,42,138,180,4535,3651,8186,629,537,1166,10224.0,137549.0,127.0,63067.62235,496.5954516,0.6546,30.2801,2021,117.85762207349173,496.5954515748031
South Central,Gomba District,3,0,3,5003,4084,9087.0,7448,5610,13058,2571,2212,4783,2156,2012.0,4168,3,0,3,4543,3731,8274,6646,4989.0,11635,1951,1831,3782,2294,1967,4261,27955,3,0,3,4998,4082,9080,7421,5592,13013,2153,120894,123047,2571,2212,4783,141,460,601,17181,13918,31099,2159,2012,4171,159922.0,19912.0,1670.0,37200.85164,22.27595906,0.223,31.6739,2021,751.4612910082292,22.275959065868264
Acholi,Gulu City,147,149,296,9645,6377,16022.0,18585,11034,29619,5755,5126,10881,8412,8186.0,16598,50,52,102,7159,4593,11752,10617,5821.0,16438,5805,5617,11422,4311,3734,8045,47759,49,51,100,7003,4405,11408,10255,5581,15836,5614,5556,11170,4075,3586,7661,647,1573,2220,42544,30872,73416,8559,8335,16894,185042.0,233271.0,222.0,217612.3906,980.2359936,2.7743,32.2882,2021,219.4682015501005,980.2359936936938
Acholi,Gulu District,9,6,15,21288,10150,31438.0,19811,6445,26256,9564,7217,16781,11003,10114.0,21117,9,6,15,18755,8959,27714,17022,5824.0,22846,9880,9059,18939,8508,6474,14982,84496,9,5,14,20648,9888,30536,19061,6310,25371,10687,9764,20451,9304,6990,16294,1028,1737,2765,61675,33932,95607,11012,10120,21132,108428.0,135373.0,1721.0,126652.8222,73.59257535,2.955,32.4467,2021,667.1466022807663,73.59257536316095
Bunyoro,Hoima City,1,2,3,2266,1720,3986.0,5867,3936,9803,1043,909,1952,1941,1653.0,3594,0,1,1,1921,1426,3347,4482,3001.0,7483,1660,1406,3066,872,788,1660,15557,0,1,1,2030,1489,3519,4770,3006,7776,1721,1452,3173,898,815,1713,112,231,343,11118,8220,19338,1942,1655,3597,100099.0,143304.0,227.0,128679.6114,566.8705348,1.4274,31.3484,2021,120.89716335590364,566.8705348017621
Bunyoro,Hoima District,1,2,3,3911,2239,6150.0,4951,2509,7460,2137,1568,3705,3153,2849.0,6002,1,1,2,3845,2205,6050,4854,2396.0,7250,3098,2795,5893,2109,1542,3651,22846,4,5,9,3857,2183,6040,4808,2381,7189,3093,2773,5866,2067,1528,3595,696,1207,1903,14153,9167,23320,3154,2851,6005,205432.0,257544.0,1341.0,240655.8559,179.459997,1.6343,31.171,2021,94.93224220354406,179.45999694258015
Ankole,Ibanda District,7,8,15,19716,14786,34502.0,35514,21555,57069,8361,7016,15377,7151,6277.0,13428,1,5,6,17856,13681,31537,31713,18865.0,50578,6386,5547,11933,7609,6147,13756,107810,1,5,6,17365,13277,30642,30857,18520,49377,6279,5388,11667,7502,6035,13537,305,791,1096,70749,49642,120391,7158,6285,13443,249625.0,309466.0,622.0,290145.2616,466.4714816,0.0966,30.4818,2021,371.5724992560071,466.4714816720258
Busoga,Iganga District,34,19,53,30037,18056,48093.0,53929,26054,79983,18151,14109,32260,25978,22825.0,48803,30,18,48,28974,17169,46143,51858,24688.0,76546,25065,22211,47276,17473,13484,30957,200970,29,17,46,28196,16631,44827,50548,23515,74063,24647,21666,46313,16915,13100,30015,1871,4206,6077,128129,81063,209192,26012,22844,48856,339311.0,426958.0,633.0,398518.9621,629.57182,0.7236,33.4832,2021,504.2921896137298,629.5718200631911
Ankole,Isingiro District,9,2,11,19619,14886,34505.0,34204,21570,55774,11465,9073,20538,14141,13268.0,27409,9,2,11,19114,14588,33702,32199,20127.0,52326,13495,12525,26020,11195,8829,20024,132083,9,2,11,18441,14082,32523,32444,20951,53395,13569,12760,26329,10880,8586,19466,445,1189,1634,79438,58799,138237,14150,13270,27420,486360.0,635077.0,2536.0,586227.0097,231.1620701,0.8435,30.8039,2021,225.31032827640112,231.16207007097793
Busoga,Jinja City,146,69,215,10116,6417,16533.0,22781,12949,35730,6078,5208,11286,8749,8014.0,16763,113,28,141,8684,5572,14256,18067,9472.0,27539,7310,6740,14050,5092,4222,9314,65300,112,26,138,8451,5414,13865,17495,9249,26744,7096,6490,13586,4929,4106,9035,372,1245,1617,47870,32657,80527,8895,8083,16978,247074.0,279184.0,179.0,269135.8067,1503.551993,0.5349,33.2139,2021,242.62843655280892,1503.5519927374303
Busoga,Jinja District,38,26,64,16497,9211,25708.0,31265,15108,46373,11286,8339,19625,18488,15081.0,33569,34,24,58,15670,8742,24412,28949,14175.0,43124,17465,14257,31722,10842,7994,18836,118152,34,23,57,15415,8672,24087,28504,14027,42531,17159,14004,31163,10675,7916,18591,845,1804,2649,77574,47765,125339,18526,15107,33633,224168.0,280905.0,499.0,262520.7968,526.0937812,0.5349,33.2139,2021,450.0672001617206,526.0937811623247
Karamoja,Kaabong District,181,114,295,5302,3805,9107.0,11093,5919,17012,3060,2797,5857,8421,8039.0,16460,13,18,31,5191,3721,8912,10646,5700.0,16346,8233,7899,16132,3006,2665,5671,47092,13,18,31,5178,3708,8886,10582,5668,16250,8229,7894,16123,2988,2657,5645,137,1131,1268,28057,20674,48731,8602,8153,16755,116646.0,264631.0,4751.0,206970.9808,43.56366677,3.5696,34.242,2021,227.5294817562173,43.5636667648916
Kigezi,Kabale District,1,0,1,330,341,671.0,1220,1683,2903,120,75,195,184,169.0,353,1,0,1,297,320,617,1165,1620.0,2785,155,140,295,111,65,176,3874,1,0,1,290,306,596,1088,1532,2620,150,146,296,109,64,173,1,37,38,1855,2268,4123,185,169,354,230609.0,285588.0,561.0,267843.3353,477.4391003,1.3505,30.0203,2021,14.463678910139379,477.4391003565062
Tooro,Kabarole District,15,1,16,3603,3102,6705.0,8163,6148,14311,2020,1790,3810,2409,2254.0,4663,1,1,2,3059,2682,5741,6902,5153.0,12055,1997,1745,3742,1780,1590,3370,24910,1,1,2,2970,2580,5550,6760,5180,11940,1860,1663,3523,1634,1472,3106,44,211,255,16210,13295,29505,2424,2255,4679,196749.0,230368.0,1184.0,219719.8361,185.5741859,0.6833,0.0,2021,113.3716483779955,185.57418589527026
Teso,Kaberamaido District,20,3,23,15630,8646,24276.0,14706,5369,20075,8163,6736,14899,9487,8704.0,18191,20,3,23,14795,8307,23102,14715,4999.0,19714,9044,8221,17265,7840,6402,14242,74346,20,3,23,15181,8381,23562,13941,5012,18953,9162,8359,17521,7922,6527,14449,743,1273,2016,48006,29458,77464,9507,8707,18214,105152.0,140986.0,689.0,129112.5485,187.391217,1.6325,0.0,2021,575.8231935139905,187.3912169811321
Bunyoro,Kagadi District,12,12,24,11592,7575,19167.0,17745,10011,27756,6131,4824,10955,7282,6993.0,14275,9,9,18,10853,7197,18050,17125,9301.0,26426,6810,6145,12955,5718,4513,10231,67680,8,10,18,10751,7080,17831,16184,9197,25381,6431,5947,12378,5683,4411,10094,1018,1712,2730,42762,29415,72177,7294,7005,14299,351033.0,471111.0,1420.0,431311.1198,303.7402252,0.95,30.8,2021,156.9168910631921,303.7402252112676
Bunyoro,Kakumiro District,6,6,12,9677,6061,15738.0,14353,6834,21187,5004,4025,9029,7309,6217.0,13526,5,4,9,9322,5839,15161,13726,6475.0,20201,7013,5986,12999,4840,3900,8740,57110,5,3,8,9219,5760,14979,13586,6460,20046,6930,5929,12859,4744,3815,8559,738,1881,2619,36349,23143,59492,7315,6223,13538,293108.0,428176.0,1701.0,382158.8542,224.6671688,1.0028,31.3084,2021,149.44047317587965,224.66716884185774
Teso,Kalaki District,28,30,58,9893,4410,14303.0,9176,3183,12359,6027,4868,10895,6082,5911.0,11993,28,30,58,9893,4410,14303,9176,3183.0,12359,6082,5911,11993,6027,4868,10895,49608,28,30,58,9655,4269,13924,8990,3150,12140,5969,5789,11758,5845,4724,10569,563,1301,1864,31206,18402,49608,6110,5941,12051,109874.0,149736.0,658.0,136457.3207,207.3819463,0.0,0.0,2021,363.5422397678661,207.3819463525836
South Central,Kalangala District,11,81,92,1357,1224,2581.0,3597,3681,7278,876,787,1663,1089,1088.0,2177,10,4,14,1286,1210,2496,3475,3629.0,7104,1044,1070,2114,802,737,1539,13267,10,4,14,1259,1172,2431,3434,3573,7007,1047,1055,2102,794,736,1530,37,334,371,6930,6861,13791,1100,1169,2269,54293.0,74411.0,452.0,67696.95749,149.7720298,0.6351,32.5373,2021,195.9763110766058,149.77202984513275
Busoga,Kaliro District,46,39,85,12549,6560,19109.0,26866,13294,40160,7617,5271,12888,15155,13371.0,28526,44,37,81,12523,6547,19070,26757,13269.0,40026,15098,13316,28414,7587,5262,12849,100440,44,37,81,12431,6491,18922,26488,13158,39646,15034,13259,28293,7570,5242,12812,3339,5615,8954,62233,38535,100768,15201,13410,28611,286397.0,236199.0,779.0,250256.3912,321.2533905,0.8927,33.5028,2021,401.3483912174308,321.25339050064184
South Central,Kalungu District,8,9,17,4178,3372,7550.0,5420,3180,8600,2069,1926,3995,2090,2178.0,4268,16,7,23,4016,3254,7270,5050,2972.0,8022,1904,1989,3893,2011,1860,3871,23079,16,7,23,3956,3214,7170,4827,2889,7716,1909,1976,3885,1944,1831,3775,138,395,533,13765,10665,24430,2098,2187,4285,174368.0,221569.0,790.0,206203.6432,261.0172699,0.0953,31.7651,2021,111.923337734704,261.0172698734177
Kampala,Kampala,707,659,1366,23499,19083,42582.0,62017,52319,114336,16314,15567,31881,20008,19255.0,39263,263,228,491,15280,12683,27963,37183,32677.0,69860,12461,12077,24538,10551,9820,20371,143223,297,249,546,14883,12338,27221,36888,32950,69838,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,20715,19914,40629,1507080.0,1797722.0,195.0,1705087.479,8744.038353,0.3152,32.5816,2021,83.99744984579762,8744.038353846154
Kampala,Kampala District,707,659,1366,23499,19083,42582.0,62017,52319,114336,16314,15567,31881,20008,19255.0,39263,263,228,491,15280,12683,27963,37183,32677.0,69860,12461,12077,24538,10551,9820,20371,143223,297,249,546,14883,12338,27221,36888,32950,69838,12352,11765,24117,11227,9614,20841,1046,3498,4544,122545,106883,229428,20715,19914,40629,1507080.0,1797722.0,195.0,1705087.479,8744.038353,0.3152,32.5816,2021,83.99744984579762,8744.038353846154
Busoga,Kamuli District,33,9,42,42587,23236,65823.0,73779,34521,108300,26376,19245,45621,50512,41748.0,92260,30,9,39,41998,22829,64827,72275,33746.0,106021,49326,40781,90107,25972,18905,44877,305871,30,9,39,40923,22280,63203,70424,32906,103330,47711,39696,87407,25316,18326,43642,4123,7284,11407,193287,118759,312046,50545,41757,92302,486319.0,540252.0,1515.0,523472.4615,345.5263772,0.9187,33.1239,2021,584.311539758047,345.5263772277228
Tooro,Kamwenge District,99,146,245,24444,15246,39690.0,32876,16030,48906,12581,9555,22136,16332,14914.0,31246,99,75,174,23487,14848,38335,31037,15421.0,46458,15914,14414,30328,12279,9292,21571,136866,95,80,175,22636,14382,37018,30157,15094,45251,15064,13762,28826,11809,8865,20674,713,2349,3062,86332,55891,142223,16431,15060,31491,270668.0,337167.0,1695.0,315662.2279,186.2314029,0.2903,30.574,2021,433.58371038095305,186.23140289085546
Kigezi,Kanungu District,8,8,16,10267,8108,18375.0,14192,8964,23156,4285,3520,7805,4341,3761.0,8102,11,5,16,9841,7761,17602,13411,8508.0,21919,4192,3648,7840,4161,3409,7570,54947,11,5,16,9995,7855,17850,13759,8683,22442,4186,3673,7859,4161,3433,7594,156,516,672,33093,24361,57454,4349,3769,8118,252144.0,310062.0,1275.0,291412.7654,228.5590317,0.8195,0.0,2021,188.5538539280476,228.5590316862745
Bugisu,Kapchorwa District,4,3,7,913,830,1743.0,2017,1445,3462,478,424,902,429,399.0,828,4,3,7,853,800,1653,1860,1380.0,3240,405,376,781,456,411,867,6548,4,3,7,844,793,1637,1843,1371,3214,400,369,769,452,409,861,9,27,36,3841,3101,6942,433,402,835,105186.0,133621.0,212.0,124365.4325,586.6293984,1.3514,34.3754,2021,52.65128636126441,586.6293985849056
Teso,Kapelebyong District,11,9,20,10159,4269,14428.0,12033,4024,16057,3753,2573,6326,2903,2571.0,5474,11,9,20,10119,4257,14376,12020,4001.0,16021,2890,2561,5451,3734,2557,6291,42159,11,9,20,10144,4257,14401,12070,4001,16071,2891,2556,5447,3734,2557,6291,638,1133,1771,28859,13446,42305,2914,2580,5494,87580.0,143536.0,1203.0,123763.9238,102.8794047,2.211,33.7518,2021,340.6404605281269,102.87940465502909
Karamoja,Karamoja,356,287,643,58185,34250,92435.0,96868,46516,143384,40584,32024,72608,114916,103483.0,218399,140,129,269,55677,32623,88300,88970,42640.0,131610,110343,99546,209889,39328,30923,70251,500319,140,132,272,55293,32561,87854,88788,42941,131729,109376,98718,208094,39059,30783,69842,2879,7301,10180,310909,216560,527469,115272,103770,219042,965010.0,1496117.0,27407.0,1311702.767,47.8601367,2.8309,34.1532,2021,381.42711335761027,47.860136716897145
Karamoja,Karenga District,5,1,6,4931,2811,7742.0,7468,3102,10570,2326,1728,4054,5220,5244.0,10464,5,1,6,4890,2759,7649,7740,3031.0,10771,5082,5064,10146,2283,1893,4176,32748,5,1,6,4882,2756,7638,7691,3020,10711,5091,5077,10168,2291,1798,4089,252,692,944,19950,12886,32836,5225,5245,10470,51233.0,100375.0,25702.0,82035.68843,3.191801744,3.5691,33.6931,2021,399.1921153674897,3.1918017442222393
Tooro,Kasese District,112,70,182,32850,27984,60834.0,50210,32629,82839,14747,12983,27730,15789,14368.0,30157,99,58,157,31062,26771,57833,46013,31676.0,77689,14561,13197,27758,13940,12242,26182,189619,99,58,157,30287,26017,56304,46285,30180,76465,14055,12798,26853,13433,11841,25274,665,1236,1901,113708,88034,201742,15901,14438,30339,694987.0,853831.0,2795.0,802700.156,287.191469,0.1699,0.0,2021,236.22643970185052,287.19146905187836
